Gene name	Gene type
Gm23690	snRNA
Gm23554	snoRNA
Gm23000	snRNA
Snora81	snoRNA
Gm26235	miRNA
Gm25227	snoRNA
Gm28010	miRNA
Gm25608	snoRNA
Mir185	miRNA
n-R5s23	rRNA
Gm26284	snoRNA
Gm25415	snoRNA
Gm24656	snoRNA
Mir344h-1	miRNA
Mir133a-1	miRNA
Gm24211	snRNA
Gm27306	miRNA
Gm26249	snRNA
Gm23556	miRNA
Gm23826	snoRNA
Gm26027	misc_RNA
Mir762	miRNA
Mir3074-2	miRNA
Gm25262	miRNA
Gm25471	snoRNA
Gm24262	snoRNA
Gm24136	snRNA
Gm22817	ribozyme
Gm24708	snRNA
Mir3075	miRNA
Gm22063	snRNA
Mirlet7a-2	miRNA
Gm25772	snRNA
Gm22177	snRNA
Gm23802	miRNA
Gm27898	misc_RNA
Gm23899	rRNA
Mir7031	miRNA
Gm24459	snRNA
Gm24894	snoRNA
Gm25877	snoRNA
Gm22925	miRNA
Gm26421	snoRNA
Gm22208	snRNA
1600017P15Rik	misc_RNA
Mir466c-2	miRNA
Gm24162	snRNA
Gm24728	snoRNA
Gm25754	miRNA
Gm25102	snRNA
Gm25394	snoRNA
Gm23453	snRNA
Gm27596	misc_RNA
Gm23922	snoRNA
Gm23617	miRNA
Gm23330	snRNA
Mir6390	miRNA
Mir1893	miRNA
Gm23117	snRNA
Gm25857	snoRNA
Gm22889	snoRNA
Gm23900	rRNA
Gm23151	snRNA
Gm25793	snRNA
Gm23927	snoRNA
Gm26325	snRNA
Mir741	miRNA
Mir6537	miRNA
Snord1b	snoRNA
n-R5s128	rRNA
Gm25246	miRNA
Gm24356	snRNA
Gm23454	snoRNA
Gm44394	miRNA
Snord15a	snoRNA
Gm22131	snoRNA
Gm24377	snoRNA
Gm23903	snoRNA
Mir483	miRNA
Mir674	miRNA
Mir6995	miRNA
Gm27599	misc_RNA
Gm24028	miRNA
Gm26441	snRNA
Gm26490	snoRNA
Gm23795	snoRNA
Gm25228	miRNA
Gm22916	snoRNA
Gm24212	snoRNA
Gm24097	snRNA
Gm22897	scaRNA
Gm25956	miRNA
Gm23973	misc_RNA
Gm25783	snRNA
Gm23095	snRNA
Mir6373	miRNA
Gm25410	snoRNA
Mir124a-2	miRNA
Gm24423	snRNA
Gm25217	snRNA
Gm22997	snRNA
Gm25664	snRNA
Gm26286	snoRNA
Gm24783	snRNA
Gm28006	misc_RNA
Mir465d	miRNA
Gm22056	snRNA
Gm25092	snoRNA
Mir713	miRNA
Mir208b	miRNA
Mir6905	miRNA
Mir6934	miRNA
Gm22331	snoRNA
Gm24396	miRNA
Gm23921	misc_RNA
Mir5616	miRNA
Mir342	miRNA
Gm23324	snoRNA
Gm25982	snRNA
Mir5101	miRNA
Gm26202	snoRNA
Gm26050	miRNA
Gm25629	snRNA
Gm27843	miRNA
Gm22087	snRNA
Gm24561	miRNA
Gm23740	rRNA
Gm25035	miRNA
Gm22988	snoRNA
Gm27640	misc_RNA
Gm23083	snoRNA
Gm25637	snRNA
Gm25378	snoRNA
Mir546	miRNA
Mir1966	miRNA
Mir19a	miRNA
Gm44308	miRNA
Gm44409	miRNA
Gm27901	misc_RNA
Gm25588	snoRNA
Gm23225	snoRNA
Gm22345	snRNA
Mir7012	miRNA
Gm22640	snoRNA
Gm25179	snRNA
Gm23112	snoRNA
Gm26040	snoRNA
Mir7233	miRNA
Mir365-1	miRNA
Mir181b-1	miRNA
Gm22226	snRNA
n-R5s136	rRNA
Gm24078	miRNA
Mir466p	miRNA
Gm26303	miRNA
Mir212	miRNA
Gm24346	snoRNA
Mir466b-7	miRNA
Gm24064	snoRNA
Gm44464	miRNA
Gm25796	snRNA
Gm26280	rRNA
Mir5623	miRNA
Gm25194	snoRNA
Gm22987	misc_RNA
Gm26335	snRNA
Gm22378	snRNA
Gm23528	snoRNA
Gm24217	rRNA
Gm25809	snoRNA
Gm23402	snRNA
Gm22660	snoRNA
Gm23300	snoRNA
Gm27551	miRNA
Gm25202	snRNA
Gm26138	snRNA
Gm24076	snRNA
Gm23887	snRNA
Gm24460	snoRNA
Gm26296	snRNA
Gm22600	misc_RNA
Gm24286	snoRNA
Gm24263	snRNA
Gm23509	snRNA
Gm24313	snoRNA
Gm22068	snRNA
Gm44461	miRNA
Gm23054	snRNA
Mir652	miRNA
Gm27861	misc_RNA
Mir378c	miRNA
Gm26188	snoRNA
Gm26479	snRNA
Mir6376	miRNA
Mir29a	miRNA
Gm24416	snoRNA
Gm23370	scaRNA
Gm23326	snRNA
Mir7080	miRNA
Gm22334	snoRNA
Mir7652	miRNA
Gm22438	snoRNA
Gm24877	misc_RNA
Gm24630	snRNA
Gm22055	snRNA
Gm25969	snoRNA
Gm23912	miRNA
Gm44454	miRNA
Mir7240	miRNA
Gm23658	snoRNA
Gm22080	snRNA
Gm24936	misc_RNA
Gm25943	miRNA
Gm24509	rRNA
Gm24048	miRNA
n-R5s51	rRNA
Gm24928	snRNA
Gm24370	miRNA
Gm25070	miRNA
Gm25889	snRNA
Gm22511	snoRNA
Gm27501	miRNA
Gm24083	miRNA
Gm22477	misc_RNA
Gm23542	miRNA
n-R5s159	rRNA
Mir497b	miRNA
Gm23601	snoRNA
Gm23394	miRNA
Gm24199	snoRNA
Rprl2	ribozyme
Gm24398	snoRNA
Gm22155	snRNA
Mir7005	miRNA
Mir511	miRNA
Gm24884	snoRNA
Mir34a	miRNA
Gm24648	snoRNA
Gm22466	miRNA
Gm22079	snRNA
Gm23645	snRNA
Gm25683	snoRNA
Mir377	miRNA
Gm22223	snoRNA
Gm23102	snRNA
Mir1971	miRNA
4933412A08Rik	pseudogene
Gm22726	misc_RNA
Gm23732	snRNA
Gm26291	snoRNA
Gm26265	snoRNA
Gm22380	snoRNA
Gm26320	misc_RNA
Gm22774	miRNA
Gm25593	miRNA
Gm22501	snoRNA
Mir682	miRNA
Snord57	snoRNA
Mir6375	miRNA
Gm25128	snoRNA
Gm23263	miRNA
Gm22138	snoRNA
Gm23630	miRNA
Mir5104	miRNA
Snord78	snoRNA
Gm25529	miRNA
Gm23222	miRNA
Mir216b	miRNA
Gm24916	snoRNA
Btbd35f29	protein_coding
Gm23975	snRNA
Mir129b	miRNA
n-R5s156	rRNA
Gm26210	misc_RNA
Gm23896	snoRNA
Gm27854	misc_RNA
Gm25591	miRNA
Gm22692	miRNA
Gm22394	snoRNA
Gm25336	snoRNA
Snord61	snoRNA
Gm23386	scaRNA
Gm26456	misc_RNA
Gm24222	rRNA
Gm44314	miRNA
Gm25600	snRNA
Gm25740	snRNA
Gm25722	misc_RNA
Gm24731	snoRNA
Gm25744	snoRNA
Gm24991	rRNA
Gm26059	snoRNA
Gm23814	snRNA
Gm23579	snRNA
Gm25247	miRNA
Gm22264	snRNA
Gm24183	snoRNA
Gm44333	miRNA
Gm23071	rRNA
Mir206	miRNA
Gm22032	miRNA
Gm24402	snRNA
Gm23766	miRNA
Gm26367	snoRNA
Gm22233	snoRNA
Mir669b	miRNA
Gm26245	snRNA
Gm27607	snoRNA
Gm24494	snoRNA
Gm22037	misc_RNA
Mir7211	miRNA
Gm27533	misc_RNA
Gm25426	snRNA
Gm22664	misc_RNA
Gm26430	snRNA
Gm26265	snoRNA
Mir6969	miRNA
Gm25820	scaRNA
Mir7087	miRNA
Gm25253	snRNA
Gm24268	snRNA
Gm26097	snoRNA
Gm26124	misc_RNA
Gm25865	miRNA
Gm44335	miRNA
Gm22682	snRNA
Gm22649	misc_RNA
Gm24125	snoRNA
Gm24158	miRNA
Gm23125	snRNA
Mir211	miRNA
Mir6358	miRNA
Gm22122	snRNA
Gm26013	snoRNA
Gm27899	misc_RNA
Gm26398	miRNA
Gm27703	miRNA
Gm22324	snoRNA
n-R5s182	rRNA
Mir6244	miRNA
Mir669d	miRNA
Gm22597	snRNA
Gm22212	snRNA
Gm22819	misc_RNA
Mir6371	miRNA
Gm47294	miRNA
Gm44455	miRNA
Gm24870	snRNA
Gm24075	snoRNA
n-R5s204	rRNA
Mir1931	miRNA
Gm24435	snRNA
Gm24429	snoRNA
Gm22215	snRNA
Gm25644	snRNA
Mir6983	miRNA
Gm24445	snRNA
n-R5s211	rRNA
Gm22938	snoRNA
Gm23209	snRNA
Mirlet7g	miRNA
Gm22435	snoRNA
Gm23226	snRNA
Gm27601	misc_RNA
n-R5s71	rRNA
Gm23534	snoRNA
Gm23779	snRNA
Gm27741	misc_RNA
Gm22675	snRNA
Mir485	miRNA
Gm25135	snRNA
Gm22337	snoRNA
Gm24185	snRNA
Mir7221	miRNA
Gm23170	snRNA
Gm23650	snoRNA
Gm25204	snRNA
Gm27320	miRNA
Gm23972	snRNA
Gm22908	miRNA
Gm22658	snRNA
Mir466j	miRNA
Gm25470	miRNA
Gm26213	rRNA
Mir6354	miRNA
Gm26440	snoRNA
Gm22743	snoRNA
Gm26372	misc_RNA
Gm25015	snoRNA
Mir3968	miRNA
Gm25261	snoRNA
Gm25064	snRNA
Gm23847	snRNA
Gm26049	snRNA
Gm44310	miRNA
Gm26467	snoRNA
Gm25005	snRNA
Mir6408	miRNA
Gm25814	snRNA
n-TStga1	miRNA
Gm26310	snoRNA
Gm22584	snoRNA
Gm22654	snRNA
Gm23934	snRNA
Mir346	miRNA
Gm27869	misc_RNA
Mir5129	miRNA
Gm44325	miRNA
Snora62	snoRNA
Gm23103	snRNA
Gm25965	snoRNA
Gm22169	snRNA
Gm25071	miRNA
Gm24594	snRNA
Mir3473g	miRNA
Gm22671	snoRNA
Gm22030	miRNA
Gm23865	snRNA
Gm26315	misc_RNA
Gm24579	snoRNA
Gm26243	snRNA
Gm24347	snoRNA
Gm25677	miRNA
Gm25486	snRNA
Gm23499	misc_RNA
Gm22665	misc_RNA
Gm22831	miRNA
Gm27993	misc_RNA
Gm25232	snoRNA
Gm23764	rRNA
Gm22522	snoRNA
Gm25337	snRNA
Mir3962	miRNA
Gm27266	rRNA
Gm25250	miRNA
Gm22469	snoRNA
n-R5s34	rRNA
Gm22667	misc_RNA
Gm24123	snoRNA
Gm24901	snRNA
Mir666	miRNA
Gm44299	miRNA
n-R5s90	rRNA
Mir410	miRNA
Snora78	snoRNA
Rn7s1	misc_RNA
Gm44353	miRNA
Gm26485	snRNA
Gm27285	misc_RNA
Gm22259	snRNA
Gm25325	miRNA
Ccl27a	protein_coding
Mir7231	miRNA
Gm23247	snRNA
Mir7093	miRNA
Gm24257	snoRNA
Gm26443	miRNA
Mir3110	miRNA
Gm24345	snoRNA
Gm26461	misc_RNA
Snord116l4	snoRNA
Mir297-1	miRNA
Gm22225	misc_RNA
Gm27853	misc_RNA
Gm25984	snoRNA
Gm22418	snRNA
Gm25862	snoRNA
Mir6420	miRNA
Gm23958	snRNA
Gm26017	snRNA
Gm22064	miRNA
Gm27740	miRNA
Gm23864	snRNA
Gm22520	snoRNA
Gm22379	snoRNA
Gm22989	snRNA
Mir362	miRNA
Gm26164	snRNA
Gm23320	snoRNA
Gm24548	snoRNA
Rnu1a1	snRNA
Gm27591	miRNA
Gm22038	misc_RNA
Mir5615-2	miRNA
Snord49b	snoRNA
Gm23730	snRNA
Gm22157	snRNA
Mir6910	miRNA
n-R5s142	rRNA
Snord50b	snoRNA
Gm25187	snoRNA
Gm44500	miRNA
Gm22235	snRNA
Gm22518	miRNA
Gm22980	snoRNA
Mir705	miRNA
Mir219b	miRNA
Mir297b	miRNA
Mir3473b	miRNA
Gm44474	miRNA
Gm22085	snRNA
n-R5s92	rRNA
Gm23304	miRNA
Mirt2	misc_RNA
Gm22650	miRNA
n-R5s89	rRNA
Gm26078	snoRNA
Gm24623	snRNA
Gm24375	snoRNA
Gm22391	snoRNA
Gm25585	snoRNA
Gm24315	miRNA
Gm22497	snoRNA
Gm22202	misc_RNA
Gm24256	snRNA
Scarna3b	scaRNA
Gm23287	snRNA
Gm24138	snoRNA
Gm25163	snRNA
Gm24951	miRNA
Gm22531	snoRNA
Mir7232	miRNA
Gm22390	misc_RNA
Gm22370	miRNA
Gm27365	misc_RNA
Gm44329	miRNA
Gm26375	snRNA
Gm25188	snoRNA
Gm23557	scaRNA
Mir7029	miRNA
Gm24632	misc_RNA
Gm24272	miRNA
Gm25855	snoRNA
AC132444.1	protein_coding
Mir7079	miRNA
Gm27634	miRNA
Gm26343	snoRNA
Gm25897	snRNA
Gm23044	snRNA
Gm23749	snoRNA
Gm24395	snoRNA
Gm24131	snRNA
Gm23986	snRNA
Mir3068	miRNA
Gm24240	snoRNA
Gm23706	snoRNA
Gm44395	miRNA
Gm24791	snoRNA
Gm22566	miRNA
Gm24709	snoRNA
Gm22920	miRNA
Mirlet7i	miRNA
Gm24568	snoRNA
Mir7000	miRNA
Gm25614	snoRNA
Gm25193	miRNA
Mir3084-1	miRNA
Gm44334	miRNA
Mir6715	miRNA
Gm25457	snRNA
Gm24167	miRNA
Gm26022	snRNA
Gm23055	snRNA
Gm24705	snRNA
Gm24759	snoRNA
Gm24135	miRNA
Gm9988	pseudogene
Gm22975	snRNA
Gm24585	snoRNA
Mir532	miRNA
Gm27443	misc_RNA
Gm24108	miRNA
Gm23315	snoRNA
Gm24297	snoRNA
Gm23620	miRNA
Gm27626	miRNA
Gm25776	snoRNA
Mir6951	miRNA
Gm23686	snRNA
Gm25412	snRNA
Mir802	miRNA
Gm25091	snoRNA
Gm25869	snRNA
Gm24020	miRNA
n-R5s102	rRNA
Snora19	snoRNA
AC124606.2	protein_coding
Gm22942	snoRNA
Gm44360	miRNA
Gm22100	snRNA
Olfr290	protein_coding
n-R5s30	rRNA
Mir3097	miRNA
Gm24873	snRNA
Mir7074	miRNA
Gm26182	snoRNA
Gm44313	miRNA
Gm23593	snoRNA
Gm22442	scaRNA
Gm26445	miRNA
Gm26276	snoRNA
Mir7059	miRNA
Gm22336	snRNA
Snord55	snoRNA
4930465K10Rik	pseudogene
Gm9959	pseudogene
Gm24119	snoRNA
Gm23021	snRNA
Mir449b	miRNA
Gm25230	snoRNA
Gm24213	misc_RNA
Mir21a	miRNA
n-R5s80	rRNA
Mir129-1	miRNA
Gm25210	snoRNA
Gm25372	misc_RNA
Mir664	miRNA
Gm26346	misc_RNA
Gm24016	snoRNA
Gm27905	misc_RNA
Mir7659	miRNA
Gm21748	protein_coding
Mir6417	miRNA
Gm26067	miRNA
Gm24664	rRNA
Snora65	snoRNA
Gm24009	rRNA
Mir1961	miRNA
Gm23253	snRNA
Gm25072	misc_RNA
Gm27605	misc_RNA
Gm22548	miRNA
Mir344f	miRNA
Mrto4-ps2	processed_pseudogene
Gm22887	snRNA
Gm26247	snoRNA
Mir701	miRNA
Gm25124	snRNA
Gm22533	misc_RNA
Gm26392	snoRNA
Gm22668	misc_RNA
Mir8098	miRNA
Mir873b	miRNA
Gm44489	miRNA
3110021N24Rik	protein_coding
Gm25482	snRNA
Gm27549	snRNA
Gm25748	miRNA
Gm24883	misc_RNA
Gm22019	snRNA
Gm24154	snoRNA
Gm25079	snoRNA
Mir3095	miRNA
Mir344i	miRNA
Gm44354	miRNA
Gm24533	snoRNA
Mir489	miRNA
Gm23671	misc_RNA
Gm25554	rRNA
Gm25057	misc_RNA
Mir7115	miRNA
Gm23665	snRNA
Gm26194	miRNA
Gm44376	miRNA
Mir421	miRNA
Gm25384	snRNA
Gm25927	miRNA
AC125149.4	protein_coding
Gm25540	miRNA
Mir344d-3	miRNA
Gm22021	snRNA
Gm22894	snRNA
Gm24334	snoRNA
Gm25612	snoRNA
Snord85	snoRNA
Gm25203	snoRNA
Gm24115	miRNA
Gm27921	miRNA
Gm26350	misc_RNA
Gm23755	misc_RNA
Gm22614	snRNA
n-R5s48	rRNA
Gm27316	misc_RNA
Gm25201	snRNA
Mir6236	miRNA
Gm23692	snRNA
Mir669o	miRNA
Gm23167	snRNA
Mir5126	miRNA
Rnu11	snRNA
Gm26021	snoRNA
Gm10720	protein_coding
Gm26283	snoRNA
Gm24111	miRNA
Gm23704	misc_RNA
Gm24207	snRNA
Mir16-2	miRNA
Mir103-2	miRNA
n-R5s216	rRNA
Gm24840	snRNA
Gm11011	protein_coding
Gm10812	pseudogene
Gm25294	snRNA
Gm25558	snRNA
Gm23119	scaRNA
Gm27754	miRNA
Gm26104	snRNA
Gm22495	snoRNA
Gm23345	snRNA
Gm22516	snoRNA
Mir344h-2	miRNA
Mir7041	miRNA
Gm22216	rRNA
Gm24931	rRNA
Gm25562	snoRNA
n-R5s64	rRNA
Gm26227	snRNA
Gm24748	misc_RNA
Gm10689	processed_pseudogene
Csprs	protein_coding
Gm24438	snoRNA
Gm26073	miRNA
Gm24750	snRNA
AC140325.2	protein_coding
Gm22985	snRNA
Gm24977	snRNA
Mir28a	miRNA
Gm23120	misc_RNA
Gm25911	miRNA
Mir297a-4	miRNA
Gm10736	processed_pseudogene
Gm47284	miRNA
Gm26066	snRNA
Gm23312	snRNA
Gm24997	snRNA
Gm44352	miRNA
Gm22460	miRNA
Gm26348	misc_RNA
Gm22897	scaRNA
Gm27957	misc_RNA
Gm25698	snRNA
Gm25779	miRNA
Gm10999	protein_coding
Gm24945	snoRNA
Gm23240	snRNA
Gm22093	rRNA
Mir378b	miRNA
Ighv5-8	IG_LV_gene
Mir6237	miRNA
Gm25241	miRNA
Gm23296	snRNA
Mir7213	miRNA
Gm24866	snoRNA
Gm22875	miRNA
Gm23736	snoRNA
Gm24978	snRNA
Gm21833	protein_coding
n-R5s201	rRNA
Mir669m-1	miRNA
Gm24519	snoRNA
Gm27684	miRNA
Mir5622	miRNA
Mir218-1	miRNA
Mir5619	miRNA
Gm22567	misc_RNA
Gm22588	snoRNA
Gm22777	snoRNA
Gm22311	rRNA
Mir6394	miRNA
Gm24855	miRNA
Gm22406	miRNA
Mir143	miRNA
Gm22509	snRNA
Mir1949	miRNA
Gm23099	snRNA
Rpl27a-ps4	processed_pseudogene
Ighv1-13	IG_LV_gene
Gm26183	scaRNA
Mir187	miRNA
Gm22590	snoRNA
Snord118	snoRNA
Gm23805	snRNA
Gm23771	miRNA
Gm25672	snRNA
Gm24300	miRNA
Gm44387	miRNA
Gm24854	snRNA
Gm24726	snoRNA
Gm24781	snoRNA
Gm24208	snoRNA
Gm23100	snRNA
Mir669d-2	miRNA
Gm23377	snoRNA
Gm6020	protein_coding
Gm25681	snRNA
Gm23007	misc_RNA
Gm23716	snoRNA
Gm22200	snoRNA
Gm25377	snoRNA
Mir1950	miRNA
Gm22595	snoRNA
Gm24890	snRNA
Gm24276	miRNA
Gm6365	processed_pseudogene
Snord14a	snoRNA
Gm22191	miRNA
Mir6987	miRNA
Mir6915	miRNA
Gm25832	snoRNA
Gm22381	snRNA
Mir669a-5	miRNA
Mir6898	miRNA
Mir6938	miRNA
Mir195b	miRNA
Mir28b	miRNA
Gm44343	miRNA
Gm26374	snoRNA
Gm47296	miRNA
Mir1949	snoRNA
Gm22932	miRNA
Gm23470	snRNA
Gm25500	snoRNA
Gm25833	snoRNA
Gm24045	misc_RNA
Gm22747	snRNA
Gm25152	snoRNA
AC133103.4	protein_coding
Gm25048	snRNA
Rpph1	ribozyme
Mir6345	miRNA
Gm26381	rRNA
Gm26323	misc_RNA
Mir543	miRNA
CR974586.2	protein_coding
Gm22794	misc_RNA
Gm24359	misc_RNA
Gm26270	snoRNA
Mir871	miRNA
Mir26a-2	miRNA
Gm22254	miRNA
Gm25951	miRNA
Gm22194	miRNA
